Area,Area_glatt,Datum,Volume,WD,WD_calc_smooth,Vol_calc
,,2016-10-04,1668.524060647985,2.0239166666666666,,
,,2016-10-05,1531.2386894177764,1.9726666666666663,,
2916.0,2857.0,2016-10-06,1393.3653754818745,1.91825,2.0457364654162413,1729.1626571946838
,,2016-10-07,1301.9080199118746,1.88025,,
,,2016-10-08,1181.7075139263209,1.8275833333333336,,
,,2016-10-09,1092.3580887646524,1.7860833333333332,,
,,2016-10-10,994.0943570344446,1.737666666666667,,
,,2016-10-11,891.4875527777765,1.6833333333333331,,
,,2016-10-12,800.0436989652769,1.6308333333333331,,
,,2016-10-13,716.5499237813202,1.5785833333333337,,
,,2016-10-14,674.046975,1.55,,
,,2016-10-15,697.4379877513194,1.5659166666666666,,
,,2016-10-16,648.8987781011112,1.532333333333333,,
,,2016-10-17,612.7834531319437,1.5058333333333331,,
,,2016-10-18,588.0763964052774,1.4868333333333332,,
,,2016-10-19,568.2444245899999,1.4709999999999999,,
,,2016-10-20,552.4759743600006,1.4580000000000002,,
,,2016-10-21,525.8091215596527,1.4350833333333333,,
,,2016-10-22,505.6943073396522,1.4169166666666664,,
,,2016-10-23,487.2608222474999,1.3994999999999995,,
,,2016-10-24,476.969523247986,1.3894166666666663,,
,,2016-10-25,475.3788963252771,1.387833333333333,,
,,2016-10-26,479.57953535999945,1.3919999999999997,,
,,2016-10-27,490.9852991063192,1.4030833333333332,,
,,2016-10-28,529.9789077968752,1.43875,,
,,2016-10-29,579.7468619118753,1.48025,,
,,2016-10-30,630.0324574044438,1.5186666666666664,,
,,2016-10-31,666.0065666396532,1.5444166666666668,,
,,2016-11-01,696.3201756719443,1.5651666666666666,,
,,2016-11-02,712.1101046344439,1.5756666666666663,,
,,2016-11-03,696.9409916896533,1.5655833333333335,,
,,2016-11-04,676.8268519146525,1.5519166666666668,,
,,2016-11-05,669.3563254568755,1.5467500000000003,,
,,2016-11-06,687.4332851319448,1.5591666666666668,,
,,2016-11-07,643.7867393377785,1.5286666666666668,,
