Datum,Area,Area_glatt,Vol_calc,Volume,WD,WD_calc,WD_calc_smooth
2016-09-04,,,,61663.153727668476,8.496583333333334,,
2016-09-05,,,,61310.321385407224,8.473166666666666,,
2016-09-06,14629.0,14362.0,64069.54679688272,60615.20073340722,8.426833333333333,8.631058607355934,8.654519451820553
2016-09-07,,,,59847.259710995546,8.375333333333332,,
2016-09-08,,,,59026.4342751018,8.319916666666666,,
2016-09-09,,,,58163.70436290623,8.261249999999999,,
2016-09-10,,,,57267.40361354054,8.199833333333332,,
2016-09-11,,,,56363.70859363513,8.137416666666665,,
2016-09-12,,,,55444.625533368446,8.073416666666665,,
2016-09-13,,,,54485.91056798847,8.006083333333333,,
2016-09-14,,,,53535.64166790628,7.9387500000000015,,
2016-09-15,,,,52592.658443795546,7.871333333333332,,
2016-09-16,,,,51623.65051955513,7.8014166666666656,,
2016-09-17,,,,52570.61350461627,7.869750000000002,,
2016-09-18,,,,54477.641771665,8.0055,,
2016-09-19,,,,54744.92591781557,8.024333333333333,,
2016-09-20,,,,54463.46816706498,8.004499999999998,,
2016-09-21,,,,53982.67404806501,7.9705,,
2016-09-22,,,,53369.51156207181,7.926916666666667,,
2016-09-23,,,,52680.884902882215,7.877666666666666,,
2016-09-24,,,,51952.94484046627,7.825250000000001,,
2016-09-25,,,,51155.719552668495,7.7674166666666675,,
2016-09-26,12845.0,12397.0,43630.67661833658,50348.832619385146,7.708416666666667,7.322016178776831,7.197337659273021
2016-09-27,,,,49482.02305266502,7.6445000000000025,,
2016-09-28,,,,48598.29186990624,7.5787499999999985,,
2016-09-29,,,,47709.358090240006,7.512,,
2016-09-30,,,,46806.84252923848,7.443583333333334,,
2016-10-01,,,,45894.63181165626,7.37375,,
2016-10-02,,,,45018.31740856,7.306,,
2016-10-03,,,,44152.678152351786,7.238416666666666,,
2016-10-04,,,,43190.448990625024,7.162500000000001,,
2016-10-05,,,,42204.691178420566,7.083833333333335,,
2016-10-06,12664.0,12412.0,43774.60681418666,41181.232866153885,7.001166666666666,7.186702838512272,7.208689008182888
2016-10-07,,,,40302.234690915575,6.929333333333335,,
2016-10-08,,,,39369.686412516254,6.8522500000000015,,
2016-10-09,,,,38406.6298853889,6.771666666666667,,
2016-10-10,,,,37458.60208166223,6.691333333333334,,
2016-10-11,,,,36464.73634456,6.605999999999999,,
2016-10-12,,,,35512.01174190517,6.523083333333335,,
2016-10-13,,,,34602.124182153886,6.442833333333334,,
2016-10-14,,,,33909.231115060014,6.381,,
2016-10-15,,,,34502.70337976,6.434,,
2016-10-16,12157.0,11888.0,38886.91349920783,34712.971144382216,6.4526666666666666,6.807564260750812,6.811980716202933
2016-10-17,,,,34411.851336935164,6.4259166666666685,,
2016-10-18,,,,33885.08100562057,6.378833333333334,,
2016-10-19,,,,33281.40975503848,6.324416666666667,,
2016-10-20,,,,32763.54224078223,6.277333333333334,,
2016-10-21,,,,32227.168175140567,6.228166666666668,,
2016-10-22,,,,31744.688293438485,6.183583333333335,,
2016-10-23,,,,31198.198476648908,6.132666666666667,,
2016-10-24,,,,30658.303442721815,6.081916666666667,,
2016-10-25,,,,30334.387100406264,6.0512500000000005,,
2016-10-26,,,,30528.702806028887,6.0696666666666665,,
2016-10-27,,,,30589.500944628475,6.0754166666666665,,
2016-10-28,,,,30433.66415344888,6.060666666666666,,
2016-10-29,,,,30038.420540238465,6.023083333333332,,
2016-10-30,,,,29482.05923161624,5.969749999999999,,
2016-10-31,,,,28890.737115625016,5.9125000000000005,,
2016-11-01,,,,28247.081076865,5.8495,,
2016-11-02,,,,27501.318817038482,5.7755833333333335,,
2016-11-03,,,,26687.555447656254,5.6937500000000005,,
2016-11-04,,,,25882.21952858501,5.6115,,
2016-11-05,,,,25170.82626121625,5.53775,,
2016-11-06,,,,24840.724808807216,5.503166666666666,,
2016-11-07,,,,24892.280288188467,5.508583333333332,,
2016-11-08,,,,24688.75703462056,5.487166666666668,,
2016-11-09,,,,24162.188624062223,5.431333333333334,,
2016-11-10,,,,23834.286081156264,5.396250000000001,,
2016-11-11,,,,23217.51176671181,5.329583333333334,,
2016-11-12,,,,22431.845081555563,5.243333333333333,,
2016-11-13,,,,21794.01015722056,5.172166666666667,,
2016-11-14,,,,20967.44539205556,5.078333333333333,,
2016-11-15,,,,20215.72870299556,4.991333333333333,,
2016-11-16,,,,19517.32019026001,4.909000000000002,,
2016-11-17,,,,18662.068125321803,4.8060833333333335,,
2016-11-18,,,,17787.12610809625,4.69825,,
2016-11-19,,,,16991.18800101625,4.59775,,
2016-11-20,,,,16208.337165385,4.4965,,
2016-11-21,,,,15365.234905961805,4.3845833333333335,,
2016-11-22,,,,14515.997905655136,4.268583333333333,,
2016-11-23,,,,13710.493275366247,4.15525,,
2016-11-24,,,,12915.90473599999,4.039999999999998,,
2016-11-25,,,,12091.901436985,3.9165,,
2016-11-26,,,,11265.226697288466,3.7880833333333332,,
2016-11-27,,,,10445.985475513891,3.6558333333333337,,
2016-11-28,,,,9485.412639071805,3.493583333333333,,
2016-11-29,,,,8426.050262847222,3.3041666666666667,,
2016-11-30,,,,7578.592175646252,3.1432500000000005,,
2016-12-01,,,,7042.604821838475,3.0364166666666668,,
2016-12-02,,,,6754.110449045141,2.9770833333333333,,
2016-12-03,,,,6502.740758196252,2.92425,,
2016-12-04,,,,6398.436121839999,2.902,,
2016-12-05,,,,6318.205403166249,2.88475,,
2016-12-06,,,,6380.947506096248,2.8982499999999995,,
2016-12-07,,,,6396.88051738889,2.901666666666667,,
2016-12-08,,,,6407.3848643551355,2.9039166666666665,,
2016-12-09,,,,6382.5009888884715,2.8985833333333333,,
2016-12-10,,,,6378.617670016252,2.8977500000000003,,
2016-12-11,,,,6362.32185789625,2.89425,,
2016-12-12,,,,6283.880475448892,2.8773333333333335,,
2016-12-13,,,,6229.327039265001,2.8655000000000004,,
2016-12-14,,,,6311.255016246252,2.8832500000000003,,
2016-12-15,,,,6251.577914295555,2.8703333333333334,,
2016-12-16,,,,6232.776908656251,2.8662500000000004,,
2016-12-17,,,,6245.819205485141,2.8690833333333337,,
2016-12-18,,,,6240.447036795137,2.8679166666666664,,
2016-12-19,,,,6167.789751128475,2.8520833333333333,,
2016-12-20,,,,6208.267273118472,2.8609166666666668,,
2016-12-21,,,,6295.439226607223,2.879833333333333,,
2016-12-22,,,,6342.177708401806,2.8899166666666667,,
2016-12-23,,,,6345.661692515554,2.8906666666666663,,
2016-12-24,,,,6364.260638862224,2.8946666666666667,,
2016-12-25,,,,6376.288299666251,2.89725,,
2016-12-26,,,,6393.381164185135,2.9009166666666664,,
2016-12-27,,,,6303.537280151805,2.8815833333333334,,
2016-12-28,,,,6315.88814179625,2.88425,,
2016-12-29,,,,6346.823253418474,2.890916666666667,,
2016-12-30,,,,6372.407050705138,2.896416666666666,,
2016-12-31,,,,6410.888409128892,2.904666666666667,,
2017-01-01,,,,6401.547951715555,2.9026666666666667,,
2017-01-02,,,,6357.670103146253,2.8932500000000005,,
2017-01-03,,,,6241.214334221801,2.8680833333333333,,
2017-01-04,,,,6346.048866546251,2.89075,,
2017-01-05,,,,6111.89639807389,2.839833333333333,,
2017-01-06,,,,5928.3501251805565,2.799166666666667,,
2017-01-07,,,,6132.7761466384745,2.844416666666667,,
2017-01-08,,,,6260.797902882224,2.8723333333333336,,
2017-01-09,,,,6187.24664122889,2.8563333333333336,,
2017-01-10,,,,6159.787870828889,2.8503333333333334,,
2017-01-11,,,,6106.966902906249,2.83875,,
2017-01-12,,,,6337.147136887221,2.888833333333333,,
2017-01-13,,,,6229.710306338473,2.8655833333333334,,
2017-01-14,,,,6119.864047218471,2.8415833333333333,,
2017-01-15,,,,6062.69983186,2.8289999999999997,,
2017-01-16,,,,6007.708957207222,2.8168333333333333,,
2017-01-17,,,,6061.189558462222,2.8286666666666664,,
2017-01-18,,,,6152.9336571538915,2.8488333333333338,,
2017-01-19,,,,6174.653046538473,2.8535833333333334,,
2017-01-20,,,,6222.047422888474,2.863916666666667,,
2017-01-21,,,,6249.658021268473,2.8699166666666667,,
2017-01-22,,,,6287.346878255138,2.878083333333333,,
2017-01-23,,,,6260.029285887221,2.8721666666666663,,
2017-01-24,,,,6278.490376153891,2.8761666666666668,,
2017-01-25,,,,6268.871505601805,2.874083333333333,,
2017-01-26,,,,6286.576475961809,2.8779166666666667,,
2017-01-27,,,,6264.2573197384745,2.8730833333333337,,
2017-01-28,,,,6248.506240695559,2.8696666666666677,,
2017-01-29,,,,6288.8878380851365,2.8784166666666664,,
2017-01-30,,,,6276.565955196247,2.87575,,
2017-01-31,,,,6258.492207140556,2.871833333333333,,
2017-02-01,,,,6332.892207128474,2.887916666666667,,
2017-02-02,,,,6334.439273196249,2.88825,,
2017-02-03,,,,6353.7950639184755,2.892416666666667,,
2017-02-04,,,,6315.115824835139,2.8840833333333333,,
2017-02-05,,,,6296.595742101806,2.8800833333333333,,
2017-02-06,,,,6403.882367473891,2.903166666666667,,
2017-02-07,,,,6389.882858873889,2.900166666666667,,
2017-02-08,,,,6403.4932658384705,2.903083333333333,,
2017-02-09,,,,6324.000594159998,2.886,,
2017-02-10,,,,6376.676495715556,2.897333333333333,,
2017-02-11,,,,6434.662277416248,2.9097499999999994,,
2017-02-12,,,,6373.959395046248,2.8967499999999995,,
2017-02-13,,,,6404.660609555556,2.9033333333333338,,
2017-02-14,,,,6384.054678671808,2.898916666666667,,
2017-02-15,,,,6458.484284073887,2.9148333333333327,,
2017-02-16,,,,6431.54165041847,2.909083333333333,,
2017-02-17,,,,6368.527095438471,2.895583333333333,,
2017-02-18,,,,6277.3356847684745,2.875916666666667,,
2017-02-19,,,,6271.179297128474,2.8745833333333337,,
2017-02-20,,,,6284.650696625,2.8775,,
2017-02-21,,,,6335.212883851806,2.888416666666666,,
2017-02-22,,,,6363.8728567951375,2.8945833333333333,,
2017-02-23,,,,6337.92092866,2.889,,
2017-02-24,,,,6241.598002340559,2.8681666666666668,,
2017-02-25,,,,6141.899573871804,2.8464166666666664,,
2017-02-26,,,,6260.029285887223,2.8721666666666668,,
2017-02-27,,,,6261.182230785141,2.8724166666666666,,
