Datum,WD,Vol,W_change
2016-09-07,8.375333333333332,59847.259710995546,-820.8254358937484
2016-09-08,8.319916666666666,59026.4342751018,-862.729912195573
2016-09-09,8.261249999999999,58163.704362906225,-896.3007493656842
2016-09-10,8.199833333333332,57267.40361354054,-903.695019905419
2016-09-11,8.137416666666665,56363.70859363512,-919.0830602666756
2016-09-12,8.073416666666665,55444.625533368446,-958.7149653799788
2016-09-13,8.006083333333333,54485.91056798847,-950.268900082192
2016-09-14,7.9387500000000015,53535.641667906275,-942.9832241107215
2016-09-15,7.871333333333333,52592.65844379555,-969.0079242404245
2016-09-16,7.8014166666666656,51623.65051955513,946.9629850611382
2016-09-17,7.869750000000001,52570.61350461627,1907.0282670487286
2016-09-18,8.0055,54477.641771664996,267.2841461505668
