Station name ger: Piz la Ila
Station number: 61690SF
Local ETRS89/UTM-Zone 32 X: 722543
Local ETRS89/UTM-Zone 32 Y: 5160892
Global geogr. longitude: 11,903781
Global geogr. latitude: 46,564724
Height m a.s.l.: 2050
Heighthistory m a.s.l.: [01/01/1950;00:00:00	2050.0]
Parameter name: HS
Parameter type: Schneehöhe
Time series name: LWD_GT/61690SF/HS/Month.Mean
Time series unit: cm
Datum	Uhrzeit	Wert[cm]	Status des Werts
01/05/2011	00:00:00	1,3	40 (Gut)
01/06/2011	00:00:00	0,0	40 (Gut)
01/07/2011	00:00:00	0,0	40 (Gut)
01/08/2011	00:00:00	0,0	40 (Gut)
01/09/2011	00:00:00	9,0	40 (Gut)
01/10/2011	00:00:00	5,2	40 (Gut)
01/11/2011	00:00:00	12,6	40 (Gut)
01/12/2011	00:00:00	18,1	40 (Gut)
01/01/2012	00:00:00	38,6	40 (Gut)
01/02/2012	00:00:00	51,8	40 (Gut)
01/03/2012	00:00:00	49,1	40 (Gut)
01/04/2012	00:00:00	25,4	40 (Gut)
01/05/2012	00:00:00	0,8	40 (Gut)
01/06/2012	00:00:00	0,0	40 (Gut)
01/07/2012	00:00:00	0,4	40 (Gut)
01/08/2012	00:00:00	0,6	40 (Gut)
01/09/2012	00:00:00	0,5	40 (Gut)
01/10/2012	00:00:00	8,5	40 (Gut)
01/11/2012	00:00:00	28,7	40 (Gut)
01/12/2012	00:00:00	69,4	40 (Gut)
01/01/2013	00:00:00	89,0	40 (Gut)
01/02/2013	00:00:00	117,4	40 (Gut)
01/03/2013	00:00:00	138,9	40 (Gut)
01/04/2013	00:00:00	129,3	40 (Gut)
01/05/2013	00:00:00	12,8	40 (Gut)
01/06/2013	00:00:00	0,7	40 (Gut)
01/07/2013	00:00:00	0,0	40 (Gut)
01/08/2013	00:00:00	0,0	40 (Gut)
01/09/2013	00:00:00	0,0	40 (Gut)
01/10/2013	00:00:00	2,3	40 (Gut)
01/11/2013	00:00:00	25,2	40 (Gut)
01/12/2013	00:00:00	51,7	40 (Gut)
01/01/2014	00:00:00	116,0	40 (Gut)
01/02/2014	00:00:00	199,7	40 (Gut)
01/03/2014	00:00:00	172,5	40 (Gut)
01/04/2014	00:00:00	114,4	40 (Gut)
01/05/2014	00:00:00	27,0	40 (Gut)
01/06/2014	00:00:00	0,0	40 (Gut)
01/07/2014	00:00:00	0,0	200 (Unbekannt)
01/08/2014	00:00:00	0,0	200 (Unbekannt)
01/09/2014	00:00:00	0,0	40 (Gut)
01/10/2014	00:00:00	4,6	200 (Unbekannt)
01/11/2014	00:00:00	8,2	40 (Gut)
01/12/2014	00:00:00	14,7	40 (Gut)
